ID_Log,Remetente,Telefones,Agencia,Conta,Endereco_Completo,Banco_Destino,Chave_Pix,Data_Hora,Valor
TX-001,Juliana Rodrigues,(61) 92428-7672,1201,154907-4,"QE 25, Conjunto E, Guará, DF",Itaú,(61) 92428-7672,14/06/2026 16:35:21,1201.67
TX-002,Juliana Rodrigues,"(61) 92428-7672, (61) 3272-2764",1201,154907-4,QE 25 Conj E - Guará / DF,Inter,(61) 92428-7672,14/06/2026 12:45:35,1232.51
TX-003,Juliana Rodrigues,(61) 92428-7672,1201,154907-4,"Guará, QE 25, Bloco E",Santander,95378067185,14/06/2026 22:27:27,528.73
TX-004,Carolina Lopes,(61) 92671-1719,1202,430782-7,"QN 2, Conjunto C, Samambaia, DF",Itaú,7823908d43ec1f85,14/06/2026 22:33:27,5767.12
TX-005,Carolina Lopes,"(61) 92671-1719, (61) 3094-3329",1202,430782-7,QN 2 Conj C - Samambaia / DF,Bradesco,d23ee3c934f4f040,14/06/2026 12:51:33,99.05
TX-006,Carolina Lopes,(61) 92671-1719,1202,430782-7,"Samambaia, QN 2, Bloco C",Sicoob,89dc68ceaf517df1,14/06/2026 22:14:49,3906.96
TX-007,Pedro Carvalho,(61) 99356-1521,1203,539873-5,"QNA 32, Conjunto F, Taguatinga, DF",Bradesco,(61) 99356-1521,14/06/2026 11:28:10,4158.76
TX-008,Pedro Carvalho,"(61) 99356-1521, (61) 3867-3973",1203,539873-5,QNA 32 Conj F - Taguatinga / DF,Bradesco,92bb2bfd633d6624,14/06/2026 22:05:04,127.23
TX-009,Pedro Carvalho,(61) 99356-1521,1203,539873-5,"Taguatinga, QNA 32, Bloco F",Itaú,(61) 99356-1521,14/06/2026 17:00:05,6721.64
TX-010,Camila Martins,(61) 99716-9208,1204,340259-6,"SQS 32, Conjunto F, Plano Piloto, DF",Nubank,2d768558fb0d7d65,14/06/2026 19:17:14,7439.72
TX-011,Camila Martins,"(61) 99716-9208, (61) 3741-1978",1204,340259-6,SQS 32 Conj F - Plano Piloto / DF,Nubank,0299536a0b4c1837,14/06/2026 14:35:24,3425.27
TX-012,Camila Martins,(61) 99716-9208,1204,340259-6,"Plano Piloto, SQS 32, Bloco F",Caixa,(61) 99716-9208,14/06/2026 07:21:16,7160.27
TX-013,Camila Almeida,(61) 91005-2779,1205,765078-6,"Quadra 23, Conjunto F, Recanto das Emas, DF",Santander,02311144e5c13682,14/06/2026 08:30:05,555.76
TX-014,Camila Almeida,"(61) 91005-2779, (61) 3632-2025",1205,765078-6,Quadra 23 Conj F - Recanto das Emas / DF,Bradesco,fc3fc73c07758380,14/06/2026 18:50:40,1972.74
TX-015,Camila Almeida,(61) 91005-2779,1205,765078-6,"Recanto das Emas, Quadra 23, Bloco F",Santander,(61) 91005-2779,14/06/2026 15:03:02,2616.01
